"",gene_symbol,GSM1545535,GSM1545536,GSM1545537,GSM1545538,GSM1545539,GSM1545540,GSM1545541,GSM1545542,GSM1545543,GSM1545544,GSM1545545
ENSMUSG00000021218,Gdi2,288.60416,311.8008,501.89787,272.10206,273.1704,347.20078,306.71927,236.56251,400.74169,315.71139,305.63435
ENSMUSG00000021219,Rgs6,0.15952,0.0978,3.68723,0.15251,0.25685,0.05697,0.0431,0.33469,0.14499,0.56557,0.34603
ENSMUSG00000021221,Dpf3,0.55833,0.34232,0.16031,0.24401,0.10274,0.27347,0.57468,0.09563,0.03625,0.12119,0.25953
ENSMUSG00000021222,Dcaf4,23.58286,22.05492,28.87945,23.86726,20.06868,21.14813,21.55037,18.13704,22.65408,24.27928,28.1585
ENSMUSG00000021223,Papln,891.70843,233.55719,170.02463,114.88313,155.22408,274.95987,570.0792,112.7748,15.04231,146.28163,507.41531
ENSMUSG00000021224,Numb,221.81709,130.25117,112.72376,87.2032,96.04543,140.93815,202.78901,85.76049,46.43181,121.39638,187.11778
ENSMUSG00000021226,Acot2,6.80633,16.38226,3.16048,3.96517,4.07538,12.71622,5.6462,3.77722,4.82079,27.47073,11.37586
ENSMUSG00000021228,Acot3,0.10635,0.07335,0,0.061,0.03425,0.02279,0.0862,0.01594,0,0,0.04325
ENSMUSG00000021234,Fam161b,1.48888,4.59681,2.42761,1.57082,3.66442,3.5095,2.78718,1.53001,1.88482,6.4637,1.85993
ENSMUSG00000021235,Coq6,13.2936,18.85182,15.13824,22.17444,17.12345,17.35377,11.8096,16.52734,16.81839,18.25995,14.10088
ENSMUSG00000021236,Entpd5,17.17534,17.62926,37.97156,40.68873,34.69211,21.36462,20.55906,31.23779,22.07414,15.47248,17.73423
ENSMUSG00000021238,Aldh6a1,44.53358,49.02451,45.48342,42.54931,50.68541,48.8025,44.52307,60.4515,11.92511,47.66979,40.09667
ENSMUSG00000021239,Vsx2,0.4254,0.12226,0.43514,0.18301,0.23973,0.48996,0.67525,0.27094,0.36247,0.28279,0.5623
ENSMUSG00000021240,Abcd4,9.94362,10.09832,8.61116,9.44015,10.30832,9.99295,7.9449,7.14007,28.56227,9.65515,10.25125
ENSMUSG00000021241,Isca2,7.71029,12.20111,16.48946,8.14385,8.0309,10.80195,9.35286,8.27164,11.34517,13.53337,9.77545
ENSMUSG00000021242,Npc2,80.55925,139.34699,216.19511,86.91344,84.69259,129.62345,83.74475,78.50886,168.43765,136.86886,85.47035
ENSMUSG00000021243,Fcf1,25.55031,29.29245,35.0401,23.39449,19.0584,30.24091,24.03585,19.36424,31.20827,33.77284,28.02874
ENSMUSG00000021244,Ylpm1,90.95485,72.79101,71.08788,75.68897,78.76787,83.55562,97.33585,103.33971,103.37512,109.35774,110.5578
ENSMUSG00000021245,Mlh3,8.29521,7.21308,27.66565,10.67545,13.13369,8.53446,6.00537,9.99291,14.82483,10.22073,10.33776
ENSMUSG00000021248,Tmed10,169.70616,336.12968,242.76146,208.01884,206.69717,351.05211,220.92006,186.04017,158.9773,348.67626,215.62231
ENSMUSG00000021250,Fos,4984.33083,4761.0506,104.0668,1932.98911,3469.05694,3196.04525,2435.58004,869.54216,369.02597,4269.03199,4766.44254
ENSMUSG00000021252,0610007P14Rik,12.92138,26.84734,22.94783,21.64067,18.08236,21.77483,13.2032,14.50326,47.30173,27.34953,16.52311
ENSMUSG00000021253,Tgfb3,436.98738,132.32951,204.97312,110.85696,132.0903,138.64787,175.49187,104.23222,108.95708,112.62999,359.52912
ENSMUSG00000021254,Gpatch2l,25.73642,31.19964,32.97892,30.86731,34.40101,29.59143,25.47254,38.98349,24.86512,30.66218,26.73111
ENSMUSG00000021255,Esrrb,0.98373,22.93516,0.38933,0.38127,0.37672,28.29246,2.94522,0.28688,0.10874,11.75586,2.24922
ENSMUSG00000021256,Vash1,0.74444,0.97805,0.84737,9.31815,11.07887,1.21921,0.66088,11.39542,2.02981,0.60597,0.51905
ENSMUSG00000021257,Angel1,8.37497,12.25002,9.59595,7.51857,5.80485,8.13565,4.84165,5.84912,6.3069,9.65515,5.6663
ENSMUSG00000021258,Ccnk,32.06418,36.60334,38.70442,41.11575,40.51408,40.48454,31.44918,38.71255,40.16116,45.48829,40.83199
